"CELEB","MOVIE"
"Orlando Bloom","New York, I Love You"
"Orlando Bloom","Pirates of the Caribbean: The Curse of the Black Pearl"
"Orlando Bloom","The Calcium Kid"
"Orlando Bloom","Elizabethtown"
"Orlando Bloom","The Lord of the Rings: The Two Towers"
"Candice Bergen","Starting Over"
"Candice Bergen","The Adventurers"
"Candice Bergen","The Magus"
"Candice Bergen","Sweet Home Alabama"
"Candice Bergen","2010: The Year We Make Contact"
"Candice Bergen","Sex and the City: The Movie"
"Candice Bergen","Oliver's Story"
"Candice Bergen","Bride Wars"
"Candice Bergen","The In-Laws"
"Candice Bergen","Mayflower Madam"
"Candice Bergen","The Group"
"Candice Bergen","Stick"
"Candice Bergen","The Sand Pebbles"
"Candice Bergen","Carnal Knowledge"
"Candice Bergen","A Night Full of Rain"
"Candice Bergen","Bite the Bullet"
"Candice Bergen","View from the Top"
"Candice Bergen","Soldier Blue"
"Candice Bergen","The Human Face"
"Candice Bergen","Miss Congeniality"
"Candice Bergen","11 Harrowhouse"
"Candice Bergen","Gandhi"
"Candice Bergen","Vivre pour vivre"
"Candice Bergen","Rich And Famous"
"Candice Bergen","The Domino Principle"
"Candice Bergen","Footsteps"
"Candice Bergen","Getting Straight"
"Candice Bergen","The Wind and the Lion"
"Johnny Depp","Blow"
"Johnny Depp","The Rum Diary"
"Johnny Depp","Platoon"
"Johnny Depp","Chocolat"
"Johnny Depp","Charlie and the Chocolate Factory"
"Johnny Depp","Pirates of the Caribbean films"
"Johnny Depp","Once Upon a Time in Mexico"
"Johnny Depp","The Astronaut's Wife"
"Johnny Depp","Sleepy Hollow"
"Johnny Depp","Donnie Brasco"
"Johnny Depp","Pirates of the Caribbean: At World's End"
"Johnny Depp","A Nightmare on Elm Street"
"Johnny Depp","Pirates of the Caribbean: Dead Man's Chest"
"Johnny Depp","Finding Neverland"
"Johnny Depp","The Imaginarium of Dr. Parnassus"
"Johnny Depp","Cry-Baby"
